site,site_long,pi,lat_icos,lon_icos,Utc Offset,classid_icos,Projects,Fluxes,Mean Annual Temperature,Mean Annual Precpitation,Slope,Exposure,Prevailing Wind Direction,Mean Water Table Depth,Days with snow cover,,
DK-SkG,Skjern W-PG,Søren O. Petersen,55.94116,8.447355,,GRA,,CH4-C|CO2-C|N2O-C,9.6,913,Flat,,,42,,,
DK-Skj,Skjern,Thomas Friborg,55.91273,8.40481,1,WET,,CH4-E|CO2-E|H-E|LE-E,8.4,1000,Flat,W,WSW,0.5,20,,
DK-Sor,Soroe,Andreas Ibrom,55.4858694,11.6446444,1,DBF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|CarboExtreme (EU-FP7),,8.2,660,,,,-9999,,,
DK-SVA,Store Vildmose N-AR,Søren O. Petersen,57.23313,9.84435,,CRO,,CH4-C|CO2-C|N2O-C,8.7,702,Flat,,,70,,,
DK-SVG,Store Vildmose N-PG,Søren O. Petersen,57.22988,9.83291,,GRA,,CH4-C|CO2-C|N2O-C,8.6,702,Flat,,,61,,,
DK-SVR,Store Vildmose N-RG,Søren O. Petersen,57.23312,9.84462,,CRO,,CH4-C|CO2-C|N2O-C,9.1,702,Flat,,,70,,,
DK-Ulb,Ulborg,Kim Pilegaard,56.29102778,8.428027778,,ENF,,,7.7,960,,,,-9999,,,
DK-Vng,Voulundgaard,Thomas Friborg,56.0374765,9.16070962,1,CRO,,CO2-E|H-E|LE-E|N2O-E,8.5,9500,Flat,FLAT,WSW,5,20,,
EE-Aar,Aardlapalu grassland,Ülo Mander,58.31305,26.74388,,GRA,,CH4-C|CO2-C|N2O-C,8.9,620,,,,-9999,,,
EE-Aga,Agali Forest Station,Kaido Soosaar,58.287472,27.283525,,DBF,,CH4-E/C|CO2-E/C|N2O-E/C,NULL,,Flat,NULL,NULL,-9999,,,
EE-Hi1,Hiiesoo abandoned peat extraction,Ülo Mander,59.3505,27.1008,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Hi2,Hiiesoo active peat extraction,Ülo Mander,59.3519,27.1016,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Jvs,Järvselja,Steffen M. Noe,58.274211,27.309952,,MF,,Aerosols-C|BVOCs|CH4|CO2-E|LE-E|O3,,,,,,-9999,,,
EE-Ka1,Kasesoo abandoned peat extraction,Ülo Mander,59.1411,27.6531,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ka2,Kasesoo active peat extraction,Ülo Mander,59.1459,27.6636,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ka3,Kasesoo bog,Ülo Mander,59.1417,27.6778,,WET,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ku1,Kuresoo bog wooded,Ülo Mander,58.4736,25.2125,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Ku2,Kuresoo bog,Ülo Mander,58.4744,25.2008,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Lv1,Lavassaare abandoned peat extraction,Ülo Mander,58.5727,24.3819,,BSV,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Lv2,Lavassaare drained fen,Ülo Mander,58.5719,24.3908,,GRA,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Lv3,Lavassaare grass cultivation,Ülo Mander,58.573,24.3858,,WET,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Mam,Maima bog,Ülo Mander,58.5791,24.4266,,WET,,CH4-C|CO2-C|N2O-C,5.6,711,,,,-9999,,,
EE-Pdv,Pudivere grassland,Ülo Mander,59.0866,26.3744,,GRA,,CH4-C|CO2-C|N2O-C,7.9,653,,,,-9999,,,
EE-Ph1,Puhatu abandoned peat extraction,Ülo Mander,59.2658,27.6316,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Ph2,Puhatu active peat extraction,Ülo Mander,59.2659,27.6314,,BSV,,CH4-C|CO2-C|N2O-C,7.8,657,,,,-9999,,,
EE-Pts,Pitsalu,Kuno Kasak,58.56331611,24.36888762,2,WET,WATERLANDS,CH4-E|CO2-E|H-E|LE-E,10.6,870.5,Flat,NULL,SW,-9999,,,
EE-Rng,Ruhingu,Kuno Kasak,57.913145,26.694047,,WET,,CH4-E|CO2-E|H-E|LE-E,6.8,107.1,Flat,NULL,SW,-9999,,,
EE-Rok,Roka,Ülo Mander,58.245336,27.299731,,DBF,,CH4-C|CO2-C|N2O-C,5,610,,,,-9999,,,
EE-San,Sangla bog forest,Ülo Mander,58.32704,26.21819,,DBF,,CH4-C|CO2-C|N2O-C,8.9,620,,,,-9999,,,
EE-Stg,Soontaga Forest Station,Kaido Soosaar,58.023561,26.07074,,ENF,,CO2-E,NULL,,Flat,NULL,WSW,-9999,,,
EE-Vg1,Valgeraba bog forest,Ülo Mander,58.43507,25.23629,,DBF,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
EE-Vg2,Valgeraba bog,Ülo Mander,58.43662,25.23675,,WET,,CH4-C|CO2-C|N2O-C,8.5,710,,,,-9999,,,
ES-Abr,Albuera,Mirco Migliavacca,38.701839,-6.785881,1,SAV,,CO2-E|H-E|LE-E,NULL,,Flat,FLAT,NULL,-9999,,,
ES-Agu,Aguamarga,Francisco Domingo Poveda,36.940046,-2.033208,1,OSH,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,,,,,,-9999,,,
ES-Amo,Amoladeras,Francisco Domingo Poveda,36.833608,-2.252318,1,OSH,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,,0,,,,-9999,,,
ES-AP1,Almodóvar del Pinar 1,Eva María Rubio Caballero,39.680985,-1.842411111,,ENF,,CO2-E|CO2-C|H-E|LE-E,12.6,507,"Medium Slope (>2 %, <5%)",,,-9999,,,
ES-AP2,Almodóvar del Pinar 2,Eva María Rubio Caballero,39.67726984,-1.84830946,,ENF,,CO2-E|CO2-C|H-E|LE-E,12.6,507,"Medium Slope (>2 %, <5%)",,,-9999,,,
ES-CMb,Cuenca Las Majadas burned,Francisco Ramón López Serrano,40.25830581,-1.968060873,,ENF,,CO2-E|CO2-C|H-E|LE-E,10.3,983,Strong Slope (>10%),,,-9999,,,
ES-CMu,Cuenca Las Majadas unburned,Francisco Raón López Serrano,40.25206923,-1.964783374,,ENF,,CO2-E|CO2-C|H-E|LE-E,10.3,983,Strong Slope (>10%),,,-9999,,,
ES-Cnd,Conde,Sergio Aranda-Barranco,37.914998,-3.227659,1,WSA,,CO2-E|H-E|LE-E|O3-E,15.8,474,"Medium Slope (>2 %, <5%)",NULL,NULL,-9999,,,
ES-CPa,Cortes de Pallas,Arnaud Carrara,39.22417,-0.90305,1,OSH,,CO2-E|H-E|LE-E,,,,,,-9999,,,
ES-Cst,Castellar,Maria Teresa Sebastià,42.305014,2.033568,,GRA,,CO2-E|CO2-C|H-E|LE-E,,,,180,180,-9999,120,,
ES-Dnn,Doñana,Ricardo Díaz-Delgado,36.995549,-6.513203,1,WSA,,CO2-E|H-E|H2O-E|LE-E,27,457.2,"Significant Slope (>5%, <10%)",W,W,6,0,,
ES-EBn,El Bonillo,Eva María Rubio Caballero,38.93706599,-2.64402303,,WSA,,,12.8,452,"Significant Slope (>5%, <10%)",,,-9999,,,
ES-ES1,El Saler (Valencia),Maria Jose Sanz| Arnaud Carrara,39.34481,-0.31999,1,ENF,Medeflu (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,17.85,550.7,,,,-9999,,,
ES-ES2,El Saler-Sueca (Valencia),Maria Jose Sanz| Arnaud Carrara,39.27438,-0.31641,1,CRO,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6),CO2-E|H-E|LE-E,18,550,,-,E-W,-9999,,,
ES-FcO,Finca Oran,José González Piqueras,38.823638,-1.85977,,CRO,,CO2-E|H-E|LE-E,14.6,379,Gentle slope (<2 %),FLAT,WNW,-9999,2,,
ES-FtD,FuenteDuque,Nestor Fernandez,36.99818,-6.434566,,WET,,CO2-E|H-E|LE-E,,545,Flat,,,-9999,0,,
ES-Gdn,Guadiana,Penelope Serrano,37.910917,-3.228444,,EBF,,CO2-E/C|H-E|LE-E,15.8,474,"Medium Slope (>2 %, <5%)",,,-9999,,,
ES-LBr,La Bertolina,Maria Teresa Sebastià,42.098889,1.661389,,GRA,,CO2-E|CO2-C|H-E|LE-E,,,,180,160,-9999,15,,
ES-LgS,Laguna Seca,Borja Ruiz Reverter,37.097936,-2.965833,1,OSH,GHG-Europe (EU-FP7),CO2-E|CO2-C|H-E|LE-E,,,,,,-9999,,,
ES-LJu,Llano de los Juanes,Penelope Serrano,36.926594,-2.752115,1,OSH,GHG-Europe (EU-FP7),CO2-E|CO2-C|H-E|LE-E,16,400,,,,-9999,,,
ES-LM1,Majadas del Tietar North,Mirco Migliavacca,39.94269,-5.778683,1,SAV,,CO2-E|H-E|H2O-E|LE-E,16,700,Undulated/Variable,FLAT,SW,-9999,0,,
ES-LM2,Majadas del Tietar South,Mirco Migliavacca,39.934592,-5.775881,1,SAV,,CO2-E|H-E|H2O-E|LE-E,16,700,Undulated/Variable,FLAT,SW,-9999,0,,
ES-LMa,Las Majadas de Tietar (Caceres),Arnaud Carrara,39.94033,-5.77465,1,SAV,CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,18.5,572,"Medium Slope (>2 %, <5%)",,SW (250º) and NE (70º),-9999,0,,
ES-Ln1,Lanjaron-Non intervention,Andrew Kowalski,36.972098,-3.473851,1,OSH,GHG-Europe (EU-FP7),CO2-E|CO2-C|H-E|LE-E,,,16,255,,-9999,,,
ES-Ln2,Lanjaron-Salvage logging,Borja Ruiz Reverter,36.969502,-3.475819,1,OSH,GHG-Europe (EU-FP7),CO2-E|CO2-C|H-E|LE-E,,,,,,-9999,,,
ES-LTs,Las Tiesas Experimental Farm,Juan Manuel Sánchez,39.042395,-2.089033,,CRO,,CO2-E|H-E|LE-E,13.7,314,Flat,FLAT,WNW,-9999,2,,
ES-Mcd,Moncada,Arnaud Carrara,39.58819,-0.39969,,EBF,,CO2-E|H-E|LE-E|O3-E,17.6,460,Flat,NULL,NULL,-9999,,,
ES-MtN,MonteNegro,Nestor Fernandez,36.991805,-6.482628,,CSH,,CO2-E|H-E|LE-E,,545,Flat,,,-9999,0,,
ES-Mzn,Manzanera,Ana López Ballesteros,40.089496,-0.827409,,EBF,,CO2-E|H-E|LE-E,11.4,512,Flat,FLAT,NW,-9999,,,
ES-Pdu,Padul,Penelope Serrano,37.016975,-3.609228,1,WET,,CH4-E|CO2-E|CO2-C|H-E|LE-E|LE-C,,,,,,-9999,,,
ES-PRt,Pla de Riart,Maria Teresa Sebastià,42.063333,1.513333,,GRA,,CO2-E|CO2-C|H-E|LE-E,,,,,160,-9999,,,
ES-QdM,Quintos de Mora,Jose Manuel Moreno,39.42690514,-4.117171204,,CSH,,CO2-E,,,,,,-9999,,,
ES-SCf,Santa Clotilde forest,Maria P. Gonzalez-Dugo,38.210142,-4.287495,,SAV,,CO2-E|H-E|LE-E,15.4,720,"Significant Slope (>5%, <10%)",SW,SW,-9999,,,
ES-SCg,Santa Clotilde grassland,Maria P. Gonzalez-Dugo,38.210163,-4.289965,,SAV,,H-E|LE-E,15.4,720,"Significant Slope (>5%, <10%)",,,-9999,,,
ES-Srn,Sarrion,Ana López Ballesteros,40.15,-0.838,,EBF,,CO2-E|H-E|LE-E,11.8,476,Flat,FLAT,NW,-9999,,,
ES-Tol,Toledo,Jose Manuel Moreno,39.86004722,-4.030063889,,MF,,,15,400,,,,-9999,,,
ES-TzM,Tarazona de la Mancha,Juan Manuel Sánchez,39.26597,-1.939726,1,CRO,,CO2-E|H-E|LE-E,13.7,314,Flat,FLAT,WNW,-9999,2,,
ES-VDA,Vall d' Alinyà (Lleida),Arnaud Carrara,42.15111,1.44738,1,GRA,CarboEuropeIP (EU-FP6)|CarboMont (EU-FP5),CO2-E|H-E|LE-E,13,669,Gentle slope (<2 %),,N,-9999,,,
ES-Yst,Yeste,Francisco Ramón López Serrano,38.33893358,-2.350605236,,ENF,,CH4-E|CO2-E|CO2-C|H-E|LE-E,,,,,,-9999,,,
ES-Zam,Zambrana,Silvia Cosin,42.9325,-2.853055556,,CRO,,,19,,5,,,-9999,,,
FI-Alk,Alkkia,Tuomas Laurila,62.183367,22.784233,2,ENF,,CH4-C|CO2-E|CO2-C|H-E|LE-E|N2O-C,4.1,681,Flat,,SW,50,145,,
FI-Ant,Anttila,Narasinha Shurpali,63.16358,27.2347,,CRO,,CH4-E/C|CO2-E/C|H-E|LE-E|N2O-E/C,3.2,612,Gentle slope (<2 %),NNE,SW,0,166,,
FI-Hy2,Hyytiala Clear Cut,Narasinha Shurpali,61.84385,24.30433333,,BSV,,CH4-C|CO2-E/C|H-E|LE-E|N2O-C,3,700,Gentle slope (<2 %),SW,SW,-9999,,,
FI-Hyy,Hyytiala,Timo Vesala| EFDC Staff| Ivan Mammarella,61.84741,24.29477,2,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),Aerosols-E|BVOCs|CH4-E/C|CO2-E/C|H-E|LE-E|N2O-C|O3-E,3.8,709,2,1,245,-9999,,,
FI-Jo2,Jokioinen2,Kristiina Regina,60.89903,23.5128,,CRO,,CH4-C|N2O-C,4.6,627,Flat,,225,90,154,,
FI-Jo3,Jokioinen3,Kristiina Regina,60.8988,23.5131,,CRO,,CH4-C|N2O-C,4.6,627,Flat,,225,90,154,,
FI-Jok,Jokioinen,Tuomas Laurila Annalea Lohila,60.8986,23.51345,2,CRO,GHG-Europe (EU-FP7),CH4-C|CO2-E|CO2-C|H-E|LE-E|N2O-C,4.6,627,Flat,,SW,90,154,,
FI-Kaa,Kaamanen,Mika Aurela,69.14057,27.26985,2,WET,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),,-1.3,395,,,S,-9999,,,
FI-Ken,Kenttarova,Tuomas Laurila| Mika Aurela,67.98721472,24.24301028,2,ENF,,CO2-E|H-E|LE-E,,,,,,-9999,,,
FI-Kmp,Kumpula,Leena Järvi,60.20289,24.9611,2,URB,,Aerosols-E|BVOCs-E|CO2-E|H-E|LE-E|N2O-E,5.9,655,Hilltop,FLAT,SW,-9999,120,,
FI-Kns,Kalevansuo,Tuomas Laurila,60.64683333,24.356167,2,ENF,GHG-Europe (EU-FP7),CH4-C|CO2-E|H-E|LE-E|N2O-C,4.3,607,Flat,,SW,30,154,,
FI-Kvr,Kuivajarvi,Anne Ojala,61.84662,24.2804,2,WAT,,BVOCs-C|CH4-E/C|CO2-E/C|H-E|H2O-E|LE-E|N2O-C,3.3,711,Valley,,SSE,-9999,151,,
FI-Let,Lettosuo,Tuomas Laurila| Annalea Lohila,60.64183,23.95952,2,ENF,,CH4-C|CO2-E|CO2-C|H-E|H2O-E|LE-E|N2O-C,4.6,627,Flat,SW,SW,-9999,90,,
FI-Lom,Lompolojankka,Tuomas Laurila| Annalea Lohila,67.997239,24.209178,2,WET,GHG-Europe (EU-FP7),CH4-E|CH4-C|CO2-E|CO2-C|H-E|LE-E|N2O-C,-1.4,484,,,SW,-9999,191,,
FI-Ouk,Oulanka,Riku Paavola,66.37751734,29.30768069,,WET,,,,,,,,-9999,,,
FI-Pap,Pappilansuo,Narasinha Shurpali,63.13819,27.24574,,CRO,,CH4-E/C|CO2-E/C|H-E|LE-E|N2O-E/C,3.2,612,Flat,N,SSW,0.6,166,,
FI-Qvd,Qvidja,Laura Heimsch,60.295242,22.391607,2,CRO,,CH4-E|CO2-E|H-E|H2O-E|LE-E,5.4,650,Flat,Flat,SSE,-9999,-100,,
FI-Sar,Särkisuo,Narasinha Shurpali,63.15158,27.23739,,CRO,,CH4-E/C|CO2-E/C|H-E|LE-E|N2O-E/C,3.2,612,Flat,N,SW,0.6,166,,
FI-Si2,Siikaneva-2 Bog,Eeva-Stiina Tuittila,61.8372,24.1967,2,WET,,BVOCs-C|CH4-E/C|CO2-E/C|H-E|H2O-E|LE-E,3.5,701,FLAT,FLAT,SSW,0.093,120,,
FI-Sii,Siikaneva,Eeva-Stiina Tuittila,61.83265,24.19285,2,WET,,CH4-E|CO2-E|H-E|H2O-E,3.5,701,FLAT,,,-9999,120,,
FI-Skj,Siikajoki,Eeva-Stiina Tuittila,64.7807,24.6515,,WET,,CH4-C|CO2-C,2.3,521,,,,11,151,,
FI-Sod,Sodankyla,Tuomas Laurila| Mika Aurela| EFDC Staff,67.36238641,26.63859066,2,ENF,CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),,-1,500,,,S,-9999,,,
FI-Tvm,Tvärminne,Ivan Mammarella,59.841801,23.250271,2,WAT,,CO2-E|H-E|LE-E,NULL,,Flat,NULL,NULL,-9999,,,
FI-Var,Varrio,Pasi Kolari,67.7549,29.61,2,ENF,,CO2-E|H-E|H2O-E|LE-E,-0.5,601,Hilltop,,210,-9999,190,,
FI-Ves,Vesijako,Kari Minkkinen,61.3716,25.1055,,ENF,,CH4-C|CO2-C|N2O-C,4.5,650,,,,45,150,,
FR-Aur,Aurade,Tiphaine Tallec| Eric Ceschia,43.549649,1.106103,1,CRO,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E|N2O-C,12.9,,"Significant Slope (>5%, <10%)",45°,WNW and SE,-9999,,,
FR-Avi,Avignon,Albert Olioso,43.91608333,4.878055556,1,CRO,CarboEuropeIP (EU-FP6),,14,687,,,,-9999,,,
FR-Bil,Bilos,Denis Loustau,44.493653,-0.956092,1,ENF,,CO2-E|CO2-C|H-E|LE-E,12.8,930,Flat,0,285,1.2,3,,
FR-CLt,Col du Lautaret,Didier Voisin,45.0414,6.41053,1,GRA,,CO2-E|H-E|LE-E,3.5,950,"Significant Slope (>5%, <10%)",SE,SW,-9999,172,,
FR-Cou,Couhins,Jean-Pierre Gaudillère,44.75555556,-0.555555556,,CRO,,,13.3,900,,,,-9999,,,
FR-EM1,Estrées-Mons A27,Bruno Mary,49.8721083,3.02065,,CRO,,CH4-E|CO2-E/C|CO2-E/C|H-E|H2O-E|LE-E|LE-C|N2O-C,10.8,680,Flat,Flat,SSW,-9999,15,,
FR-EM2,Estrees-Mons A28,joel Leonard,49.8721083,3.02065,1,CRO,,CO2-E/C|H-E|H2O-E|LE-E|N2O-C,10.8,680,Flat,Flat,SSW,-9999,15,,
FR-FBn,Font-Blanche,Guillaume Simioni,43.24079,5.67865,1,MF,,CO2-E|H-E|LE-E,13.6,700,2.8,,320,-9999,,,
FR-Fgs,Fougères,Longdoz Bernard,48.38,-1.18,,DBF,,CO2-C,,,,,,-9999,,,
FR-Fon,Fontainebleau-Barbeau,Eric Dufrêne| EFDC Staff,48.476358,2.780096,1,DBF,CarboEuropeIP (EU-FP6)|ICOS|SOERE F-ORE-T|ANAEE,CO2-E|H-E|H2O-E|LE-E|O3,10.2,720,Gentle slope (<2 %),WSW,WSW,-9999,2,,
FR-Gri,Grignon,Pierre Cellier| EFDC Staff| Benjamin Loubet,48.84422,1.95191,1,CRO,CarboEuropeIP (EU-FP6)|NitroEuropeIP (EU-FP7)|ECLAIRE (EU-FP7)|INGOS (EU-FP7),CO2-E|H-E|H2O-E|LE-E|N2O-C|O3-E,12,650,Gentle slope (<2 %),FLAT,SW,-9999,0,,
FR-Hes,Hesse,Matthias Cuntz,48.6741,7.06465,1,DBF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|GHG-Europe (EU-FP7),,9.2,820,0°-5°,,NE and SW,-9999,,,
FR-Lam,Lamasquere,Aurore Brut,43.496438,1.237878,1,CRO,GHG-Europe (EU-FP7),CO2-E|H-E|LE-E,12.55,,Flat,,WNW and SE,-9999,,,
FR-LBr,Le Bray,Denis Loustau| EFDC Staff,44.71711,-0.7693,1,ENF,EuroFlux (EU-FP4)|CarboEuroFlux (EU-FP5)|CarboEuropeIP (EU-FP6),CO2-E|CO2-C|H-E|Isotopes-E|LE-E|O3-E,13.6,900,,,,-9999,,,
FR-LGt,La Guette,Sebastien Gogo,47.322917,2.284102,1,WET,SNO Tourbières INSU|CNRS|Universite Orleans,CH4-E|CO2-E|H-E|LE-E|Other-E,11,880,Gentle slope (<2 %),SW,SW,0.2,2,,
FR-Lq1,Laqueuille intensive,Katja Klumpp,45.64305556,2.735833333,1,GRA,GreenGrass (EU-FP5)|CarboEuropeIP (EU-FP6)|IMECC (EU-FP6)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CH4-E|CO2-E|H|LE|N2O-C,13.6,1313,,-,E-NE,-9999,80,,
FR-Lq2,Laqueuille extensive,Katja Klumpp,45.63919444,2.737027778,1,GRA,GreenGrass (EU-FP5)|CarboEuropeIP (EU-FP6)|CarboExtreme (EU-FP7)|GHG-Europe (EU-FP7),CH4-E|CO2-E|H-E|LE-E|N2O-C,13.6,1313,,-,E-NE,-9999,,,
FR-Lus,Lusignan,Francois Gastal,46.4142461,0.1206518,1,GRA,CarboEuropeIP (EU-FP6),CO2-E|H-E|LE-E,11.6,812,Flat,,247.5,-9999,,,
FR-Mau,Mauzac,Jean-Christophe Calvet,43.38527778,1.292222222,1,GRA,CNRM/GAME (METEO-FRANCE, CNRS)|CNES|ONERA,CO2-E|H-E|LE-E,13.5,600,,,,-9999,,
FR-Mej,Mejusseaume,Christophe Flechard,48.1184,-1.79635,1,GRA,,CO2-E|H-E|LE-E|N2O,11.7,725,Gentle slope (<2 %),SE,SW,1,1,,
FR-MsS,Montiers sur Saulx,Catherine Galy,48.53816,5.31187,1,DBF,,CO2-E|H-E|LE-E,9.7,1090,,,,-9999,,,
