sitename,start_gpp,end_gpp,year_start_gpp,year_end_gpp,nyears_gpp,drop_gpp,start_le,end_le,year_start_le,year_end_le,nyears_le,drop_le,start_lecorr,end_lecorr,year_start_lecorr,year_end_lecorr,nyears_lecorr,drop_lecorr
ES-ES1,2002-01-12,2004-09-17,2003,2003,1,FALSE,1999-01-01,2006-12-30,1999,2005,7,FALSE,2002-06-04,2005-10-20,2003,2004,2,FALSE
ES-ES2,2005-01-01,2006-12-30,2005,2005,1,FALSE,2005-01-01,2006-12-31,2005,2006,2,FALSE,2005-01-01,2006-12-30,2005,2005,1,FALSE
ES-LJu,2005-06-17,2016-12-02,2006,2015,10,FALSE,2004-05-23,2016-12-03,2005,2015,11,FALSE,2004-05-23,2016-12-03,2005,2015,11,FALSE
ES-LM1,2014-03-14,2020-12-30,2015,2020,6,FALSE,2014-03-14,2020-12-30,2015,2020,6,FALSE,2014-03-14,2020-12-30,2015,2020,6,FALSE
ES-LM2,2014-03-14,2020-12-30,2015,2020,6,FALSE,2014-03-14,2020-12-30,2015,2020,6,FALSE,2014-03-14,2020-12-30,2015,2020,6,FALSE
ES-LMa,2004-02-14,2006-10-30,2005,2005,1,FALSE,2004-01-08,2006-12-30,2005,2005,1,FALSE,2004-01-08,2006-12-30,2005,2005,1,FALSE
ES-LgS,2007-01-01,2007-12-31,2007,2007,1,FALSE,2007-01-01,2007-12-30,2007,2006,0,TRUE,2007-01-01,2007-12-30,2007,2006,0,TRUE
ES-VDA,2004-01-05,2004-12-30,2005,2004,0,TRUE,2004-01-01,2004-12-30,2004,2004,1,FALSE,2004-01-01,2004-12-30,2004,2004,1,FALSE
FI-Hyy,1996-06-13,2017-12-19,1997,2016,20,FALSE,1996-04-11,2020-12-30,1997,2020,24,FALSE,2002-12-09,2019-10-25,2003,2018,16,FALSE
FI-Kaa,2000-03-05,2002-12-07,2001,2001,1,FALSE,2000-01-01,2002-12-21,2000,2001,2,FALSE,NA,NA,NA,NA,0,TRUE
FI-Ken,2018-01-01,2020-12-30,2018,2020,3,FALSE,2018-01-01,2020-12-30,2018,2020,3,FALSE,NA,NA,NA,NA,0,TRUE
FI-Let,2009-09-03,2020-12-30,2010,2020,11,FALSE,2009-09-03,2020-12-30,2010,2020,11,FALSE,2009-09-03,2020-12-30,2010,2020,11,FALSE
FI-Lom,2007-01-01,2009-12-30,2007,2008,2,FALSE,2007-01-01,2009-12-30,2007,2008,2,FALSE,2007-01-01,2009-12-30,2007,2008,2,FALSE
FI-Qvd,2018-05-04,2020-12-30,2019,2020,2,FALSE,2018-05-04,2020-12-30,2019,2020,2,FALSE,NA,NA,NA,NA,0,TRUE
FI-Sii,2016-02-25,2020-12-30,2017,2020,4,FALSE,2016-02-25,2020-12-30,2017,2020,4,FALSE,NA,NA,NA,NA,0,TRUE
FI-Sod,2008-01-01,2014-12-30,2008,2013,6,FALSE,2008-01-01,2014-12-30,2008,2013,6,FALSE,2008-01-01,2010-11-07,2008,2009,2,FALSE
FI-Var,2016-01-01,2020-12-30,2016,2020,5,FALSE,2016-01-01,2020-12-31,2016,2020,5,FALSE,2016-01-01,2020-12-31,2016,2020,5,FALSE
FR-Aur,2005-03-12,2020-12-30,2006,2020,15,FALSE,2005-03-11,2020-12-30,2006,2020,15,FALSE,2005-03-11,2020-12-30,2006,2020,15,FALSE
FR-Bil,2014-07-12,2020-12-30,2015,2020,6,FALSE,2014-07-11,2020-12-30,2015,2020,6,FALSE,2014-07-11,2020-12-30,2015,2020,6,FALSE
FR-EM2,2017-01-01,2018-12-30,2017,2017,1,FALSE,NA,NA,NA,NA,0,TRUE,NA,NA,NA,NA,0,TRUE
FR-FBn,2008-01-11,2020-12-30,2009,2020,12,FALSE,2008-01-11,2020-12-30,2009,2020,12,FALSE,NA,NA,NA,NA,0,TRUE
FR-Fon,2005-03-10,2014-02-21,2006,2013,8,FALSE,2005-03-10,2014-02-21,2006,2013,8,FALSE,NA,NA,NA,NA,0,TRUE
FR-Gri,2004-05-12,2018-02-08,2005,2017,13,FALSE,2004-05-11,2018-02-08,2005,2017,13,FALSE,2004-05-11,2018-02-08,2005,2017,13,FALSE
FR-Hes,2003-01-07,2006-12-28,2004,2005,2,FALSE,2000-04-17,2006-12-30,2001,2005,5,FALSE,2000-04-17,2006-12-30,2001,2005,5,FALSE
FR-LBr,2003-01-01,2008-12-30,2003,2008,6,FALSE,2003-01-01,2008-12-30,2003,2008,6,FALSE,2003-01-01,2008-12-30,2003,2008,6,FALSE
FR-LGt,2017-01-26,2020-12-12,2018,2019,2,FALSE,2017-01-26,2020-12-16,2018,2019,2,FALSE,NA,NA,NA,NA,0,TRUE
FR-Lam,2005-03-12,2017-02-18,2006,2016,11,FALSE,2005-03-11,2017-02-18,2006,2016,11,FALSE,2005-03-11,2017-02-18,2006,2016,11,FALSE
FR-Lq1,2004-01-08,2006-12-22,2005,2005,1,FALSE,2004-01-01,2006-12-30,2004,2005,2,FALSE,2004-01-01,2006-01-14,2004,2005,2,FALSE
FR-Lq2,2004-02-06,2006-12-17,2005,2005,1,FALSE,2004-01-01,2006-12-30,2004,2005,2,FALSE,2004-01-01,2006-01-14,2004,2005,2,FALSE
FR-Pue,2000-07-22,2014-12-30,2001,2013,13,FALSE,2000-07-22,2014-12-30,2001,2013,13,FALSE,2003-05-28,2014-02-06,2004,2013,10,FALSE
FR-Tou,2018-01-01,2020-12-30,2018,2020,3,FALSE,2018-01-01,2020-12-31,2018,2020,3,FALSE,2018-01-01,2020-12-31,2018,2020,3,FALSE
GF-Guy,2004-01-01,2020-12-25,2004,2019,16,FALSE,2004-01-01,2020-12-26,2004,2019,16,FALSE,NA,NA,NA,NA,0,TRUE
GL-Dsk,2020-01-01,2020-12-30,2020,2020,1,FALSE,2020-01-01,2020-12-31,2020,2020,1,FALSE,NA,NA,NA,NA,0,TRUE
HU-Bug,2003-03-31,2005-06-16,2004,2004,1,FALSE,2003-01-01,2006-12-30,2003,2005,3,FALSE,2003-01-01,2006-12-30,2003,2005,3,FALSE
ID-Pag,2003-05-23,2003-12-24,2004,2002,-1,TRUE,2002-01-01,2003-12-30,2002,2002,1,FALSE,NA,NA,NA,NA,0,TRUE
IE-Ca1,2004-01-07,2006-12-15,2005,2005,1,FALSE,2004-01-01,2006-12-30,2004,2005,2,FALSE,2004-01-01,2006-12-30,2004,2005,2,FALSE
IE-Cra,2020-01-01,2020-12-31,2020,2020,1,FALSE,2020-01-01,2020-12-31,2020,2020,1,FALSE,2020-01-01,2020-12-31,2020,2020,1,FALSE
IE-Dri,2003-03-08,2004-10-20,2004,2003,0,TRUE,2003-01-01,2005-09-05,2003,2004,2,FALSE,2003-01-01,2005-09-05,2003,2004,2,FALSE
IL-Yat,2011-09-23,2020-12-30,2012,2020,9,FALSE,2011-09-22,2020-12-30,2012,2020,9,FALSE,2011-09-22,2020-12-30,2012,2020,9,FALSE
IT-Amp,2003-01-01,2006-12-21,2003,2005,3,FALSE,2003-01-01,2006-12-28,2003,2005,3,FALSE,2003-01-01,2006-12-28,2003,2005,3,FALSE
IT-BCi,2004-05-01,2020-12-30,2005,2020,16,FALSE,2004-05-01,2020-12-30,2005,2020,16,FALSE,2004-05-01,2012-11-23,2005,2011,7,FALSE
IT-BFt,2019-01-01,2020-12-31,2019,2020,2,FALSE,2019-01-01,2020-12-31,2019,2020,2,FALSE,2019-01-01,2020-12-31,2019,2020,2,FALSE
IT-CA1,2012-01-01,2013-07-05,2012,2012,1,FALSE,2012-01-01,2013-07-05,2012,2012,1,FALSE,2012-01-01,2013-07-05,2012,2012,1,FALSE
IT-CA2,2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE
IT-CA3,2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE,2012-01-01,2013-12-30,2012,2012,1,FALSE
IT-Col,2007-01-01,2014-12-30,2007,2013,7,FALSE,2007-01-01,2014-12-30,2007,2013,7,FALSE,2007-01-01,2014-12-30,2007,2013,7,FALSE
IT-Cp2,2012-10-03,2014-10-12,2013,2013,1,FALSE,2012-10-04,2014-10-13,2013,2013,1,FALSE,2012-10-04,2014-10-13,2013,2013,1,FALSE
IT-Cpz,2001-01-01,2008-12-11,2001,2007,7,FALSE,2001-01-01,2008-12-10,2001,2007,7,FALSE,2001-01-01,2008-12-10,2001,2007,7,FALSE
IT-Isp,2013-01-03,2014-12-30,2014,2013,0,TRUE,2013-01-01,2014-12-30,2013,2013,1,FALSE,2013-01-01,2014-12-30,2013,2013,1,FALSE
IT-Lav,2003-01-01,2020-12-30,2003,2020,18,FALSE,2003-01-01,2020-12-30,2003,2020,18,FALSE,2003-01-01,2017-01-22,2003,2016,14,FALSE
IT-Lsn,2016-01-01,2020-12-30,2016,2020,5,FALSE,2016-01-01,2020-12-30,2016,2020,5,FALSE,2016-01-01,2020-12-30,2016,2020,5,FALSE
IT-MBo,2003-01-07,2013-12-22,2004,2012,9,FALSE,2003-01-07,2013-12-23,2004,2012,9,FALSE,2003-01-07,2013-12-23,2004,2012,9,FALSE
IT-Mal,2003-01-01,2003-10-18,2003,2002,0,TRUE,2003-01-01,2003-12-03,2003,2002,0,TRUE,2003-01-01,2003-12-03,2003,2002,0,TRUE
IT-Noe,2004-04-06,2011-03-08,2005,2010,6,FALSE,2004-04-06,2011-03-08,2005,2010,6,FALSE,2004-04-06,2011-03-08,2005,2010,6,FALSE
IT-Non,2002-01-23,2002-12-30,2003,2001,-1,TRUE,2002-01-01,2002-12-30,2002,2001,0,TRUE,2002-01-01,2002-12-30,2002,2001,0,TRUE
IT-PT1,2003-01-01,2004-10-22,2003,2003,1,FALSE,2003-01-01,2004-10-22,2003,2003,1,FALSE,2003-01-01,2004-10-22,2003,2003,1,FALSE
IT-Ren,2000-12-26,2015-01-02,2001,2014,14,FALSE,2000-04-08,2015-01-01,2001,2014,14,FALSE,2000-04-08,2015-01-01,2001,2014,14,FALSE
IT-Ro1,2002-01-01,2006-12-30,2002,2005,4,FALSE,2002-01-01,2006-12-30,2002,2005,4,FALSE,NA,NA,NA,NA,0,TRUE
IT-Ro2,2002-01-01,2008-12-03,2002,2007,6,FALSE,2002-01-01,2008-12-03,2002,2007,6,FALSE,2002-01-01,2008-12-03,2002,2007,6,FALSE
IT-SR2,2013-01-01,2020-12-30,2013,2020,8,FALSE,2013-01-01,2020-12-30,2013,2020,8,FALSE,2013-01-01,2020-12-30,2013,2020,8,FALSE
IT-SRo,2008-12-25,2012-12-30,2009,2012,4,FALSE,2008-12-25,2012-12-30,2009,2012,4,FALSE,2005-09-15,2008-08-20,2006,2007,2,FALSE
IT-Tor,2008-06-20,2020-12-30,2009,2020,12,FALSE,2008-06-20,2020-12-30,2009,2020,12,FALSE,2008-06-20,2020-12-30,2009,2020,12,FALSE
JP-SMF,2003-01-01,2006-12-30,2003,2005,3,FALSE,2003-01-01,2006-12-30,2003,2005,3,FALSE,NA,NA,NA,NA,0,TRUE
NL-Ca1,2003-01-06,2004-10-17,2004,2003,0,TRUE,2003-01-01,2006-12-30,2003,2005,3,FALSE,2003-01-01,2006-12-30,2003,2005,3,FALSE
NL-Hor,2008-01-01,2011-09-07,2008,2010,3,FALSE,2008-01-01,2008-12-31,2008,2008,1,FALSE,2008-01-01,2008-12-31,2008,2008,1,FALSE
NL-Loo,1996-07-22,2018-09-14,1997,2017,21,FALSE,1996-01-08,2018-09-14,1997,2017,21,FALSE,1996-01-08,2018-09-14,1997,2017,21,FALSE
PE-QFR,2018-01-01,2019-12-30,2018,2018,1,FALSE,2018-01-01,2019-12-30,2018,2018,1,FALSE,NA,NA,NA,NA,0,TRUE
PL-wet,2004-02-03,2005-12-30,2005,2004,0,TRUE,2004-01-01,2005-12-30,2004,2004,1,FALSE,2004-03-13,2005-12-30,2005,2004,0,TRUE
PT-Mi2,2005-01-01,2006-12-30,2005,2005,1,FALSE,2005-01-01,2006-12-30,2005,2005,1,FALSE,2005-01-01,2006-12-30,2005,2005,1,FALSE
RU-Che,2003-05-10,2004-09-28,2004,2003,0,TRUE,2003-05-10,2004-09-28,2004,2003,0,TRUE,NA,NA,NA,NA,0,TRUE
RU-Fy2,2015-05-08,2020-12-30,2016,2020,5,FALSE,2015-05-08,2020-12-30,2016,2020,5,FALSE,2015-05-08,2020-12-30,2016,2020,5,FALSE
RU-Fyo,1998-07-05,2010-11-28,1999,2009,11,FALSE,1998-06-01,2020-12-30,1999,2020,22,FALSE,1998-06-01,2020-12-30,1999,2020,22,FALSE
RU-Zot,2003-05-29,2003-11-18,2004,2002,-1,TRUE,2003-05-25,2003-11-19,2004,2002,-1,TRUE,2003-05-25,2003-11-19,2004,2002,-1,TRUE
SD-Dem,2007-07-05,2009-12-04,2008,2008,1,FALSE,2007-07-06,2009-12-04,2008,2008,1,FALSE,2007-07-06,2009-12-04,2008,2008,1,FALSE
SE-Deg,2001-01-02,2017-11-07,2002,2016,15,FALSE,2001-01-02,2020-12-30,2002,2020,19,FALSE,2011-11-28,2020-12-30,2012,2020,9,FALSE
SE-Htm,2015-01-01,2020-12-30,2015,2020,6,FALSE,2015-01-01,2020-12-30,2015,2020,6,FALSE,2015-01-01,2020-12-30,2015,2020,6,FALSE
SE-Lnn,2014-01-01,2018-12-30,2014,2017,4,FALSE,2014-01-01,2018-12-30,2014,2017,4,FALSE,NA,NA,NA,NA,0,TRUE
SE-Nor,2014-01-01,2020-12-30,2014,2020,7,FALSE,2014-01-01,2020-12-30,2014,2020,7,FALSE,2014-01-01,2020-12-30,2014,2020,7,FALSE
SE-Ros,2014-07-17,2020-12-30,2015,2020,6,FALSE,2014-07-11,2020-12-25,2015,2019,5,FALSE,2015-06-17,2020-12-25,2016,2019,4,FALSE
SE-Svb,2018-01-01,2020-12-30,2018,2020,3,FALSE,2018-01-02,2020-12-30,2019,2020,2,FALSE,2018-01-02,2020-12-30,2019,2020,2,FALSE
UK-Gri,2000-01-14,2000-11-12,2001,1999,-1,TRUE,2000-01-03,2001-12-03,2001,2000,0,TRUE,2000-01-03,2001-12-03,2001,2000,0,TRUE
US-A32,2016-01-24,2017-06-14,2017,2016,0,TRUE,2015-06-17,2017-06-14,2016,2016,1,FALSE,2015-06-17,2017-06-14,2016,2016,1,FALSE
US-A74,2016-01-27,2017-06-04,2017,2016,0,TRUE,2016-01-27,2017-06-05,2017,2016,0,TRUE,2016-01-27,2017-06-05,2017,2016,0,TRUE
US-ALQ,2018-09-05,2021-12-30,2019,2020,2,FALSE,2018-09-06,2021-12-30,2019,2020,2,FALSE,NA,NA,NA,NA,0,TRUE
US-AR1,2009-04-29,2012-04-19,2010,2011,2,FALSE,2009-04-29,2012-04-19,2010,2011,2,FALSE,2009-04-29,2012-04-19,2010,2011,2,FALSE
US-AR2,2009-04-29,2012-08-02,2010,2011,2,FALSE,2009-04-29,2012-08-02,2010,2011,2,FALSE,2009-04-29,2012-08-02,2010,2011,2,FALSE
US-ARM,2003-01-02,2015-02-27,2004,2014,11,FALSE,2003-01-01,2015-02-27,2003,2014,12,FALSE,2005-03-18,2015-02-27,2006,2014,9,FALSE
US-ARb,2005-03-09,2006-10-31,2006,2005,0,TRUE,2005-03-08,2006-10-31,2006,2005,0,TRUE,2005-03-08,2006-10-31,2006,2005,0,TRUE
US-ARc,2005-03-08,2006-10-31,2006,2005,0,TRUE,2005-03-08,2006-10-31,2006,2005,0,TRUE,2005-03-08,2006-10-31,2006,2005,0,TRUE
US-Aud,2003-07-02,2005-12-30,2004,2004,1,FALSE,2003-01-01,2005-12-30,2003,2004,2,FALSE,2003-01-01,2005-12-30,2003,2004,2,FALSE
US-BRG,2017-04-19,2020-11-11,2018,2019,2,FALSE,2017-04-19,2020-11-11,2018,2019,2,FALSE,NA,NA,NA,NA,0,TRUE
US-BZB,2014-01-01,2021-12-30,2014,2020,7,FALSE,2014-01-01,2021-12-30,2014,2020,7,FALSE,2014-01-01,2021-12-30,2014,2020,7,FALSE
US-BZF,2014-01-27,2021-12-17,2015,2020,6,FALSE,2014-01-25,2021-12-17,2015,2020,6,FALSE,2014-01-25,2021-12-17,2015,2020,6,FALSE
US-BZS,2015-02-01,2021-12-01,2016,2020,5,FALSE,2015-01-01,2021-12-02,2015,2020,6,FALSE,2015-01-01,2021-12-02,2015,2020,6,FALSE
US-BZo,2018-04-07,2021-11-29,2019,2020,2,FALSE,2018-04-06,2021-11-29,2019,2020,2,FALSE,2018-04-06,2021-11-29,2019,2020,2,FALSE
US-Bar,2004-02-24,2018-01-02,2005,2017,13,FALSE,2004-02-01,2018-01-06,2005,2017,13,FALSE,NA,NA,NA,NA,0,TRUE
US-Bi1,2016-08-13,2021-12-30,2017,2020,4,FALSE,2016-08-13,2021-12-30,2017,2020,4,FALSE,2016-08-13,2021-12-30,2017,2020,4,FALSE
US-Bi2,2017-04-27,2021-12-30,2018,2020,3,FALSE,2017-04-27,2021-12-30,2018,2020,3,FALSE,2017-04-27,2021-12-30,2018,2020,3,FALSE
US-Bkg,2005-02-04,2006-12-14,2006,2005,0,TRUE,2005-01-04,2006-12-15,2006,2005,0,TRUE,2005-01-04,2006-12-15,2006,2005,0,TRUE
US-Blo,2000-01-01,2006-12-30,2000,2005,6,FALSE,2000-01-01,2006-12-30,2000,2005,6,FALSE,2000-01-01,2006-12-30,2000,2005,6,FALSE
US-Bo1,1997-01-21,2003-12-03,1998,2002,5,FALSE,1997-01-08,2006-12-30,1998,2005,8,FALSE,1997-01-08,2006-12-30,1998,2005,8,FALSE
US-CF1,2017-06-14,2020-12-30,2018,2020,3,FALSE,2017-05-12,2020-12-30,2018,2020,3,FALSE,NA,NA,NA,NA,0,TRUE
US-CF2,2017-05-10,2020-12-30,2018,2020,3,FALSE,2017-05-10,2020-12-30,2018,2020,3,FALSE,NA,NA,NA,NA,0,TRUE
US-CF3,2017-06-02,2021-04-08,2018,2020,3,FALSE,2017-06-02,2021-04-07,2018,2020,3,FALSE,NA,NA,NA,NA,0,TRUE
US-CF4,2017-06-14,2020-02-06,2018,2019,2,FALSE,2017-06-14,2020-02-06,2018,2019,2,FALSE,NA,NA,NA,NA,0,TRUE
US-CRT,2011-01-01,2013-12-30,2011,2012,2,FALSE,2011-01-01,2013-12-31,2011,2013,3,FALSE,2011-01-01,2013-12-31,2011,2013,3,FALSE
US-CS1,2018-06-28,2019-05-01,2019,2018,0,TRUE,2018-06-28,2019-05-01,2019,2018,0,TRUE,NA,NA,NA,NA,0,TRUE
US-CS2,2019-03-05,2021-09-23,2020,2020,1,FALSE,2019-03-05,2021-09-24,2020,2020,1,FALSE,2019-06-18,2019-10-17,2020,2018,-1,TRUE
US-CS3,2019-05-02,2020-05-05,2020,2019,0,TRUE,2019-05-02,2020-05-05,2020,2019,0,TRUE,NA,NA,NA,NA,0,TRUE
US-CS4,2020-05-06,2021-02-15,2021,2020,0,TRUE,2020-05-06,2021-02-15,2021,2020,0,TRUE,NA,NA,NA,NA,0,TRUE
US-Cop,2001-03-28,2003-11-16,2002,2002,1,FALSE,2001-03-28,2003-11-16,2002,2002,1,FALSE,2001-03-28,2003-11-16,2002,2002,1,FALSE
